station,date,prcp,tobs,
USC00519397,1/1/10,0.08,65,
USC00513117,1/1/10,0.28,67,
USC00518838,1/1/10,0.21,72,
USC00519523,1/1/10,0.15,75,
USC00519281,1/1/10,0.15,70,
USC00511918,1/1/10,0.05,66,
USC00516128,1/1/10,0.14,73,
USC00519397,1/2/10,0,63,
USC00513117,1/2/10,0,65,
USC00518838,1/2/10,0.02,73,
USC00519523,1/2/10,0,75,
USC00519281,1/2/10,0,62,
USC00511918,1/2/10,0,70,
USC00516128,1/2/10,0,61,
USC00519397,1/3/10,0,74,
USC00513117,1/3/10,0,75,
USC00518838,1/3/10,0,67,
USC00519523,1/3/10,0,77,
USC00519281,1/3/10,0,74,
USC00511918,1/3/10,0,75,
USC00516128,1/3/10,0,76,
USC00519397,1/4/10,0,76,
USC00513117,1/4/10,0,76,
USC00518838,1/4/10,0.01,76,
USC00519523,1/4/10,0,75,
USC00519281,1/4/10,0,75,
USC00511918,1/4/10,0,75,
USC00516128,1/4/10,0,72,
USC00513117,1/5/10,0,76,
USC00518838,1/5/10,0.02,73,
USC00519523,1/5/10,0.01,75,
USC00519281,1/5/10,0,74,
USC00511918,1/5/10,0,75,
USC00516128,1/5/10,0,74,
USC00519397,1/6/10,,73,
USC00513117,1/6/10,0.02,76,
USC00519523,1/6/10,0.11,72,
USC00519281,1/6/10,0.01,76,
USC00511918,1/6/10,0.08,72,
USC00516128,1/6/10,0.36,71,
USC00519397,1/7/10,0.06,70,
USC00513117,1/7/10,0.38,70,
USC00518838,1/7/10,,72,
USC00519523,1/7/10,0.7,68,
USC00519281,1/7/10,0.17,69,
USC00511918,1/7/10,0.04,70,
USC00516128,1/7/10,0.3,74,
USC00519397,1/8/10,0,64,
USC00513117,1/8/10,0.01,66,
USC00518838,1/8/10,0.03,73,
USC00519523,1/8/10,0.02,63,
USC00519281,1/8/10,0,66,
USC00511918,1/8/10,0,63,
USC00516128,1/8/10,0,64,
USC00519397,1/9/10,0,68,
USC00513117,1/9/10,0,69,
USC00518838,1/9/10,0.01,69,
USC00519523,1/9/10,0.01,69,
USC00519281,1/9/10,0,70,
USC00511918,1/9/10,0,68,
USC00516128,1/9/10,0,67,
USC00519397,1/10/10,0,73,
USC00513117,1/10/10,0,74,
USC00518838,1/10/10,0.01,70,
USC00519523,1/10/10,0,72,
USC00519281,1/10/10,0,75,
USC00511918,1/10/10,0,74,
USC00516128,1/10/10,0.01,71,
USC00519397,1/11/10,0.01,64,
USC00513117,1/11/10,0.03,67,
USC00518838,1/11/10,0.14,72,
USC00519523,1/11/10,0.48,68,
USC00519281,1/11/10,0.03,64,
USC00511918,1/11/10,0.05,64,
USC00516128,1/11/10,0.14,68,
USC00519397,1/12/10,0,61,
USC00513117,1/12/10,0,64,
USC00518838,1/12/10,0.02,60,
USC00519523,1/12/10,0,61,
USC00519281,1/12/10,0,60,
USC00511918,1/12/10,0,57,
USC00516128,1/12/10,0,68,
USC00513117,1/13/10,0,64,
USC00518838,1/13/10,0.02,68,
USC00519523,1/13/10,0,60,
USC00519281,1/13/10,0,61,
USC00511918,1/13/10,0,57,
USC00516128,1/13/10,0,59,
USC00519397,1/14/10,0,66,
USC00513117,1/14/10,0,65,
USC00518838,1/14/10,0,67,
USC00519523,1/14/10,0,65,
USC00519281,1/14/10,0,68,
USC00511918,1/14/10,0,65,
USC00516128,1/14/10,0,69,
USC00519397,1/15/10,0,65,
USC00513117,1/15/10,0,69,
USC00519523,1/15/10,0,68,
USC00519281,1/15/10,0,64,
USC00511918,1/15/10,0,56,
USC00516128,1/15/10,0,67,
USC00519397,1/16/10,0,68,
USC00513117,1/16/10,0,71,
USC00519523,1/16/10,0,68,
USC00519281,1/16/10,0,66,
USC00511918,1/16/10,0,66,
USC00516128,1/16/10,0,65,
USC00519397,1/17/10,0,64,
USC00513117,1/17/10,0,69,
USC00519523,1/17/10,0,70,
USC00519281,1/17/10,0,67,
USC00516128,1/17/10,0,70,
USC00519397,1/18/10,0,72,
USC00513117,1/18/10,0,73,
USC00518838,1/18/10,,70,
USC00519523,1/18/10,0,77,
USC00519281,1/18/10,0,70,
USC00511918,1/18/10,0,73,
USC00516128,1/18/10,0,76,
USC00519397,1/19/10,0,66,
USC00513117,1/19/10,0,73,
USC00518838,1/19/10,0,70,
USC00519523,1/19/10,0,74,
USC00519281,1/19/10,0,67,
USC00511918,1/19/10,0,61,
USC00516128,1/19/10,0,75,
USC00519397,1/20/10,0,66,
USC00513117,1/20/10,0.01,72,
USC00518838,1/20/10,0,68,
USC00519523,1/20/10,0,67,
USC00519281,1/20/10,0,67,
USC00511918,1/20/10,0,66,
USC00516128,1/20/10,0,69,
USC00519397,1/21/10,0,69,
USC00513117,1/21/10,0.04,70,
USC00519523,1/21/10,0.13,70,
USC00519281,1/21/10,0.16,69,
USC00511918,1/21/10,0,68,
USC00516128,1/21/10,0.32,71,
USC00519397,1/22/10,0,67,
USC00513117,1/22/10,0,65,
USC00519523,1/22/10,0,66,
USC00519281,1/22/10,0,60,
USC00511918,1/22/10,0,60,
USC00516128,1/22/10,0,63,
USC00519397,1/23/10,0,67,
USC00513117,1/23/10,0,73,
USC00519523,1/23/10,0,75,
USC00519281,1/23/10,0,75,
USC00511918,1/23/10,0,78,
USC00516128,1/23/10,0,75,
USC00519397,1/24/10,0.01,71,
USC00513117,1/24/10,0,74,
USC00519523,1/24/10,0,72,
USC00519281,1/24/10,0,75,
USC00511918,1/24/10,0,71,
USC00516128,1/24/10,0.01,76,
USC00519397,1/25/10,0,67,
USC00513117,1/25/10,0,68,
USC00518838,1/25/10,,72,
USC00519523,1/25/10,0,65,
USC00519281,1/25/10,0,65,
USC00511918,1/25/10,0,68,
USC00516128,1/25/10,0,65,
USC00519397,1/26/10,0.04,76,
